sample,anomaly_score,top_hashes,top_hash_counts,top_hash_diffs,total_unique_hashes,unique_in_topN,reason
SRR22959909,1.0,563663664500351;537908252242728;1240045192954054;756807707519645;1200078286504804;1788073068170375;1327567608950653;25056883873862;1171554731406070;1426051017688566,925;878;291;142;108;41;28;23;61;26,891.0;856.0;288.0;142.0;91.0;38.0;27.0;23.0;22.0;22.0,467,2,contains 467 hashes not seen in other samples (total unique); high anomaly score
SRR22959905,1.0,82556345128398;1171554731406070;264321125696857;1133236303124985;1200078286504804;1184011443295560;1232675177303099;1302579877048583;175768347469429;170064053650133,354;108;32;23;37;22;21;20;15;12,329.0;69.0;30.0;23.0;20.0;20.0;20.0;16.0;15.0;12.0,401,3,contains 401 hashes not seen in other samples (total unique); high anomaly score
SRR22959922,0.9939024390243903,1728526440402826;1171554731406070;45527819307664;82556345128398;1322818537142621;264321125696857;635148819666245;954019851408850;1694635049676213;1630279890604943,2614;162;59;80;28;25;24;24;20;17,2612.0;123.0;59.0;55.0;28.0;23.0;23.0;23.0;20.0;17.0,458,4,contains 458 hashes not seen in other samples (total unique); high anomaly score
SRR22959861,0.9268292682926843,537908252242728;535770832393841;1633804158442013;1171554731406070;82556345128398;1232675177303099;1184011443295560;665537282664556;873910020455345;269602137653422,1013;403;103;80;60;32;28;10;12;9,991.0;403.0;103.0;41.0;35.0;31.0;26.0;10.0;9.0;9.0,278,4,contains 278 hashes not seen in other samples (total unique); high anomaly score
SRR22959903,0.8597560975609781,1171554731406070;82556345128398;264321125696857;1200078286504804;175768347469429;563663664500351;1184011443295560;1133236303124985;267174776581189;1240045192954054,175;128;45;54;36;65;32;27;19;19,136.0;103.0;43.0;37.0;36.0;31.0;30.0;27.0;17.0;16.0,477,2,contains 477 hashes not seen in other samples (total unique); high anomaly score
SRR22959906,0.82926829268293,82556345128398;1171554731406070;264321125696857;1184011443295560;1133236303124985;1638573725082987;1732000155760739;1200078286504804;175768347469429;800676435453432,155;100;24;21;17;15;18;30;9;9,130.0;61.0;22.0;19.0;17.0;15.0;14.0;13.0;9.0;9.0,308,4,contains 308 hashes not seen in other samples (total unique); high anomaly score
SRR22959899,0.8231707317073204,82556345128398;1171554731406070;1133236303124985;351467664903337;1232675177303099;264321125696857;1184011443295560;175768347469429;1732000155760739;635148819666245,101;111;22;21;20;13;13;11;13;10,76.0;72.0;22.0;19.0;19.0;11.0;11.0;11.0;9.0;9.0,354,2,contains 354 hashes not seen in other samples (total unique); high anomaly score
SRR22959865,0.7865853658536625,537908252242728;563663664500351;1240045192954054;756807707519645;1200078286504804;1327567608950653;1345964568638676;1788073068170375;25056883873862;564595973170225,542;189;101;71;47;27;15;15;9;9,520.0;155.0;98.0;71.0;30.0;26.0;13.0;12.0;9.0;9.0,302,3,contains 302 hashes not seen in other samples (total unique)
SRR22959876,0.7743902439024432,537908252242728;1240045192954054;563663664500351;756807707519645;1327567608950653;1200078286504804;1345964568638676;574386040832591;1788073068170375;25056883873862,559;110;123;65;40;36;15;17;14;10,537.0;107.0;89.0;65.0;39.0;19.0;13.0;11.0;11.0;10.0,298,2,contains 298 hashes not seen in other samples (total unique)
SRR22959868,0.7439024390243949,537908252242728;535770832393841;1232675177303099;1633804158442013;1171554731406070;82556345128398;1728526440402826;469889094942858;1302579877048583;1184011443295560,562;469;114;88;112;54;16;14;14;11,540.0;469.0;113.0;88.0;73.0;29.0;14.0;14.0;10.0;9.0,270,3,contains 270 hashes not seen in other samples (total unique)
SRR22959929,0.7317073170731756,537908252242728;563663664500351;1240045192954054;1221892636603561;1200078286504804;1327567608950653;1431492470166907;1788073068170375;756807707519645;1048139732051742,1628;446;117;23;37;14;16;12;8;7,1606.0;412.0;114.0;23.0;20.0;13.0;10.0;9.0;8.0;6.0,256,2,contains 256 hashes not seen in other samples (total unique)
SRR22959855,0.7073170731707371,537908252242728;535770832393841;1633804158442013;1232675177303099;1171554731406070;82556345128398;1728526440402826;1799328822344746;1200078286504804;955699285509112,873;412;181;83;87;58;32;18;26;10,851.0;412.0;181.0;82.0;48.0;33.0;30.0;13.0;9.0;9.0,188,2,contains 188 hashes not seen in other samples (total unique)
