hash,pvalue,oddsratio,count_in_samples,count_in_background,total_count,p_adj
537908252242728,1.0,1.0,70,70,27943,1.0
1141983653025767,1.0,1.0,1,1,1,1.0
1141982879285751,1.0,1.0,1,1,1,1.0
1141722071788616,1.0,1.0,1,1,1,1.0
1141701055731666,1.0,1.0,1,1,1,1.0
1141472749012974,1.0,1.0,1,1,1,1.0
1141471029030568,1.0,1.0,1,1,1,1.0
1141465474658034,1.0,1.0,1,1,1,1.0
1142025120935974,1.0,1.0,1,1,1,1.0
1141343409120244,1.0,1.0,1,1,1,1.0
1141289111191009,1.0,1.0,1,1,1,1.0
1141223095507585,1.0,1.0,1,1,1,1.0
1141144300915730,1.0,1.0,1,1,1,1.0
1140654784292916,1.0,1.0,1,1,1,1.0
1140569711125737,1.0,1.0,1,1,1,1.0
1140535166033729,1.0,1.0,1,1,1,1.0
1140311809282761,1.0,1.0,1,1,1,1.0
1141297991032598,1.0,1.0,1,1,1,1.0
1142237428885626,1.0,1.0,1,1,1,1.0
1142282557127250,1.0,1.0,1,1,1,1.0
1142335763436451,1.0,1.0,1,1,1,1.0
1144237711433638,1.0,1.0,1,1,1,1.0
1144226031742794,1.0,1.0,1,1,1,1.0
1143894057539277,1.0,1.0,1,1,1,1.0
1143888618161417,1.0,1.0,1,1,1,1.0
1143728326505151,1.0,1.0,1,1,1,1.0
1143717148265708,1.0,1.0,1,1,1,1.0
1143525936428718,1.0,1.0,1,1,1,1.0
1143458317169292,1.0,1.0,1,1,1,1.0
1143422208491427,1.0,1.0,1,1,1,1.0
1143220607338723,1.0,1.0,1,1,1,1.0
1143157960143112,1.0,1.0,1,1,1,1.0
1143067450476574,1.0,1.0,1,1,1,1.0
1143043639451698,1.0,1.0,1,1,1,1.0
1142792245611405,1.0,1.0,1,1,1,1.0
1142766497977749,1.0,1.0,1,1,1,1.0
1142656161566635,1.0,1.0,1,1,1,1.0
1142446244974924,1.0,1.0,1,1,1,1.0
1140016819250914,1.0,1.0,1,1,1,1.0
1139972162131840,1.0,1.0,1,1,1,1.0
1139924848133202,1.0,1.0,1,1,1,1.0
1139886610099887,1.0,1.0,1,1,1,1.0
1136972201095490,1.0,1.0,1,1,1,1.0
1136908972775262,1.0,1.0,1,1,1,1.0
1136784728733585,1.0,1.0,1,1,1,1.0
1136774873142149,1.0,1.0,1,1,1,1.0
1136765090565639,1.0,1.0,1,1,1,1.0
1136633473415698,1.0,1.0,1,1,1,1.0
1136576188041659,1.0,1.0,1,1,1,1.0
1136498033396106,1.0,1.0,1,1,1,1.0
1136430903560927,1.0,1.0,1,1,1,1.0
1136383689582860,1.0,1.0,1,1,1,1.0
1136207942234297,1.0,1.0,1,1,1,1.0
1136025669052074,1.0,1.0,1,1,1,1.0
1135911544057188,1.0,1.0,1,1,1,1.0
1135841580448277,1.0,1.0,1,1,1,1.0
1135782083383596,1.0,1.0,1,1,1,1.0
1135736114377260,1.0,1.0,1,1,1,1.0
1135623120092147,1.0,1.0,1,1,1,1.0
1137039621513668,1.0,1.0,1,1,1,1.0
1144270341432360,1.0,1.0,1,1,1,1.0
1137136320094863,1.0,1.0,1,1,1,1.0
1137605723168868,1.0,1.0,1,1,1,1.0
1139851931487062,1.0,1.0,1,1,1,1.0
1139463224681229,1.0,1.0,1,1,1,1.0
1139443432229244,1.0,1.0,1,1,1,1.0
1139424017414825,1.0,1.0,1,1,1,1.0
1139149347108418,1.0,1.0,1,1,1,1.0
1139082862107560,1.0,1.0,1,1,1,1.0
1139030551023434,1.0,1.0,1,1,1,1.0
1138857549787547,1.0,1.0,1,1,1,1.0
1138824747101795,1.0,1.0,1,1,1,1.0
1138719696515930,1.0,1.0,1,1,1,1.0
1138719585261255,1.0,1.0,1,1,1,1.0
1138699869440913,1.0,1.0,1,1,1,1.0
