sample,n_hashes,n_in_db,pct_in_db,n_new_hashes
SRR22959853,240,130,0.541667,110
SRR22959854,286,155,0.541958,131
SRR22959855,426,238,0.558685,188
SRR22959856,458,238,0.519651,220
SRR22959857,464,251,0.540948,213
SRR22959858,489,262,0.535787,227
SRR22959859,327,182,0.556575,145
SRR22959860,549,282,0.513661,267
SRR22959861,589,311,0.528014,278
SRR22959862,683,347,0.508053,336
SRR22959863,367,209,0.569482,158
SRR22959864,620,305,0.491935,315
SRR22959865,625,323,0.5168,302
SRR22959866,611,340,0.556465,271
SRR22959867,740,358,0.483784,382
SRR22959868,561,291,0.518717,270
SRR22959869,285,166,0.582456,119
SRR22959870,909,462,0.508251,447
SRR22959871,723,364,0.503458,359
SRR22959872,532,266,0.5,266
SRR22959873,444,227,0.511261,217
SRR22959874,393,217,0.552163,176
SRR22959875,475,237,0.498947,238
SRR22959876,572,274,0.479021,298
SRR22959877,481,257,0.534304,224
SRR22959878,447,223,0.498881,224
SRR22959879,522,262,0.501916,260
SRR22959880,542,261,0.48155,281
SRR22959881,490,254,0.518367,236
SRR22959882,450,248,0.551111,202
SRR22959883,451,245,0.543237,206
SRR22959884,609,286,0.469622,323
SRR22959885,393,210,0.534351,183
SRR22959886,516,263,0.50969,253
SRR22959887,210,126,0.6,84
SRR22959888,391,192,0.491049,199
SRR22959889,584,278,0.476027,306
SRR22959890,516,260,0.503876,256
SRR22959891,478,215,0.449791,263
SRR22959892,430,230,0.534884,200
SRR22959893,260,138,0.530769,122
SRR22959894,445,237,0.532584,208
SRR22959895,515,242,0.469903,273
SRR22959896,496,228,0.459677,268
SRR22959897,668,266,0.398204,402
SRR22959898,178,99,0.55618,79
SRR22959899,679,325,0.478645,354
SRR22959900,410,200,0.487805,210
SRR22959901,387,227,0.586563,160
SRR22959902,511,260,0.508806,251
SRR22959903,852,375,0.440141,477
SRR22959904,340,179,0.526471,161
SRR22959905,725,324,0.446897,401
SRR22959906,570,262,0.459649,308
SRR22959907,540,259,0.47963,281
SRR22959908,463,222,0.479482,241
SRR22959909,865,398,0.460116,467
SRR22959910,26,18,0.692308,8
SRR22959911,66,43,0.651515,23
SRR22959912,606,285,0.470297,321
SRR22959913,502,253,0.503984,249
SRR22959914,216,124,0.574074,92
SRR22959915,211,118,0.559242,93
SRR22959916,522,251,0.480843,271
SRR22959917,428,210,0.490654,218
SRR22959918,196,117,0.596939,79
SRR22959919,254,152,0.598425,102
SRR22959920,405,210,0.518519,195
SRR22959921,500,230,0.46,270
SRR22959922,792,334,0.421717,458
SRR22959923,231,122,0.528139,109
SRR22959924,433,216,0.498845,217
SRR22959925,378,187,0.494709,191
SRR22959926,382,199,0.520942,183
SRR22959927,309,162,0.524272,147
SRR22959928,211,113,0.535545,98
SRR22959929,489,233,0.476483,256
SRR22959930,541,244,0.451017,297
SRR22959931,442,233,0.527149,209
SRR22959932,217,122,0.562212,95
